Countries,Continents,The United Nations,The Police,The Government,The Political Parties,The Press,Justice System/Courts,Television,Parliament
Albania,Europe,78.6,71.8,37.9,22.2,16.3,56.9,23.4,56.3
Azerbaijan,Asia,19.7,37.7,85.9,46.2,29.7,44.2,39.2,66.5
Argentina,South America,33.9,22.2,26,8.2,32.6,26.3,26.7,15.2
Australia,Oceania,47.8,75.2,25.8,15.5,16.6,34.4,25.5,29.9
Armenia,Asia,64.9,31.4,41.2,15.1,33.1,30.4,44.5,29.3
Brazil,South America,65.3,44.9,48.2,32.3,60.9,54.8,57,33.2
Chile,South America,53.1,50.1,51.9,24.8,51.1,44.3,58.3,38
Croatia,Europe,25.1,59.4,50.5,21.1,21.7,49.6,21.4,39.8
Dominican Rep.,North America,40,12,12,8.1,31.7,14.4,36.2,11.5
Finland,Europe,52.4,84.9,31,13.2,30,67.8,49.8,30.7
Hungary,Europe,60,55,42.4,19.1,30.4,50.6,39.7,37.4
India,Asia,28.8,35.7,48.3,39.4,52.1,66.8,46.7,53.4
Japan,Asia,46.5,76.3,30,17.2,71.6,74.1,68.1,24.2
Lithuania,Europe,38.3,19.7,33.2,12.3,68.4,20.5,73.3,23.6
Mexico,North America,50.6,33.1,41.5,33.3,51,41,49.9,41.4
New Zealand,Oceania,47.8,78.3,15.2,5.7,32.1,44.6,35.6,14.2
Norway,Europe,72.2,85.3,65.7,32.4,32.4,69.2,48.8,68.9
Peru,South America,44.6,21.1,37,6,28.4,16.1,33.2,13.9
Philippines,Asia,73.6,54.9,57.4,44.4,71.1,65.7,69.8,59.3
Poland,Europe,53.2,51.3,36.2,11,43.1,48.3,45.3,31.1
Puerto Rico,North America,64.3,55.8,51.8,20.2,49.3,47.5,38.4,29.3
Romania,Europe,41.2,37.8,20.1,13,34.1,42.7,47.3,18.1
South Africa,Africa,40.8,73.7,62.9,42.5,48.8,58,61.5,62.8
Spain,Europe,44.2,60.5,30.1,17.9,41.7,44.6,38.6,34.7
Sweden,Europe,63,80.2,41.4,27.7,28.5,61.3,48.1,43.5
Switzerland,Europe,38.9,66.6,50.3,25.4,21.8,64.5,30.4,41.4
Turkey,Asia,40.3,71.1,50.4,28.3,47.9,69.7,48.9,50.5
Ukraine,Europe,43.6,35.3,40.5,17.2,40.9,41.1,45.3,33.9
Macedonia,Europe,38,25.3,18.9,10.6,16.4,22.7,20.7,14.7
United States,North America,46.9,69,29.7,20.3,26.8,35.4,28.7,28.8
Serbia,Europe,20.2,43.2,32.9,15.9,21.4,43.2,24.4,29.2
Montenegro,Europe,42.5,52.1,44.6,21.3,31.7,55.8,38.7,41.3